pair,sharpe_ratio,volatility,avg_trade_duration,total_trades,total_profit,profit_per_year,total_buy_trades,total_sell_trades,profit_loss_by_pair,max_loss,avg_win,avg_loss
EURAUD_NZDCHF,0.058638732824673225,2171.0808826451007,11 days 23:58:51.818181818,88,11203.229999999996,"{2020: -1321.8899999999999, 2021: 3267.95, 2022: -18928.8, 2023: 10701.93, 2024: 14476.94, 2025: 3007.1}",53,35,11203.229999999996,-15162.06,567.7435365853659,-5891.956666666666
GBPAUD_AUDCAD,0.36772703690367825,1063.2626548869457,8 days 09:00:06.382978723,94,36753.09999999999,"{2021: 10282.44, 2022: 10165.42, 2023: 4131.83, 2024: 13964.59, 2025: -1791.18}",65,29,36753.09999999999,-8556.41,540.1918478260869,-6472.275
USDCHF_NZDUSD,-0.23188338426573288,2187.4005260912945,31 days 22:51:56.326530612,49,-24853.870000000003,"{2020: -2541.47, 2021: 2270.3, 2022: -11821.45, 2023: -5335.549999999999, 2024: -641.6800000000003, 2025: -6784.0199999999995}",28,21,-24853.870000000003,-9944.71,528.9937837837838,-3702.22
USDCHF_GBPCAD,-0.06539328903139038,1886.7354417109746,30 days 04:48:31.475409836,61,-7526.17,"{2020: 1570.09, 2021: -2225.9399999999996, 2023: 3252.3199999999997, 2024: 3109.76, 2025: -13232.4}",22,39,-7526.17,-9921.66,549.6251923076923,-4011.8533333333335
NZDUSD_EURAUD,-0.018191541555127144,1479.3774777795065,27 days 06:58:14.117647059,51,-1372.5199999999988,"{2020: -3250.92, 2021: 2407.2400000000002, 2022: -938.49, 2023: 3051.92, 2024: -4206.96, 2025: 1564.69}",33,18,-1372.5199999999988,-6622.94,533.053953488372,-3036.7299999999996
USDCHF_NZDCAD,-0.027346801831168215,1768.8303060257867,16 days 05:10:55.555555555,81,-3918.119999999997,"{2021: -748.2099999999999, 2022: 15239.21, 2023: -1482.4099999999996, 2024: -12324.24, 2025: -4602.469999999999}",42,39,-3918.119999999997,-7638.82,526.5713888888889,-4647.917777777778
EURAUD_NZDJPY,0.15717711688079225,1583.4674302467733,13 days 02:18:39.587628866,97,24141.83000000001,"{2020: -3609.75, 2021: 5782.86, 2022: 3395.25, 2023: 3491.1200000000003, 2024: 10304.73, 2025: 4777.62}",41,56,24141.83000000001,-10229.14,550.4680645161291,-6762.925
USDCAD_CADCHF,0.04145919306251059,1550.0085871489582,17 days 04:33:41.052631579,76,4883.920000000003,"{2020: -552.7299999999994, 2021: -7886.910000000001, 2022: 6176.179999999999, 2023: 8297.82, 2024: 987.5799999999999, 2025: -2138.02}",36,40,4883.920000000003,-7083.89,535.0802941176471,-3937.6925
USDJPY_NZDUSD,2.7403415032113942,236.35405133539183,5 days 19:29:17.142857142,49,31736.850000000002,"{2020: 1276.58, 2021: 582.08, 2023: 8385.88, 2024: 12672.08, 2025: 8820.23}",19,30,31736.850000000002,0.0,647.6908163265307,0.0
GBPNZD_AUDCHF,0.13902051428702086,2017.08303991512,4 days 10:58:12.941176470,255,71506.06,"{2020: -12703.11, 2021: -1868.6700000000005, 2022: 13117.01, 2023: 48537.64, 2024: 14678.14, 2025: 9745.05}",144,111,71506.06,-15050.68,580.3343145161291,-10345.264285714287
AUDUSD_GBPAUD,0.006512675143174874,1460.4951974610358,23 days 06:16:03.461538461,52,494.60999999999984,"{2020: -1690.6599999999999, 2021: 3738.82, 2022: -4638.700000000001, 2023: 2649.33, 2024: 2587.2200000000003, 2025: -2151.4000000000005}",32,20,494.60999999999984,-5313.2,527.5613333333333,-3320.8071428571425
EURNZD_NZDCAD,0.10250258167784945,1523.0694502436568,11 days 14:22:40.869565217,69,10772.18,"{2021: 2725.0600000000004, 2022: 2094.4599999999996, 2023: 2221.5499999999997, 2024: 6190.95, 2025: -2459.84}",42,27,10772.18,-8337.24,548.611875,-4867.796
